Title,Director,Cast,Genre
*Insaaf Ki Devi*,S.A. Chandrashekhar,"Jeetendra, Rekha, Niraj",Action,
*Insaan Bana Shaitan*,Mohan Bhakri,"Aparajita, Anil Dhawan, Jagdeep",Horror,
*Inteha Pyar Ki*,J.K. Bihari,"Rishi Kapoor, Sushma Seth","Drama, Family, Musical, Romance",Anand-Milind
*Isi Ka Naam Zindagi*,Kalidas,"Aamir Khan, Farha Naaz, Asrani, Pran","Family, Comedy, Drama",Bappi Lahiri
*Jaagruti*,Suresh Krissna,"Salman Khan, Karisma Kapoor, Ashok Saraf, Prem Chopra, Raza Murad",Crime drama,Anand-Milind
*Jaan Se Pyaara*,Anand,"Govinda, Divya Bharti","Crime, Drama",Anand-Milind
*Jaan Tere Naam*,Deepak Balraj Vij,"Ronit Roy, Sulbha Deshpande",Romance,Nadeem-Shravan
*Jaanam*,Vikram Bhatt,"Rahul Roy, Pooja Bhatt, Paresh Rawal",Romance,Anu Malik
*Jai Kaali*,Nikhil Saini,"Saeed Jaffrey, Jeetendra, Hema Malini",Thriller,
*Jeena Marna Tere Sang*,Vijay Reddy,"Sanjay Dutt, Raveena Tandon, Javed Jaffrey",Romance,Dilip Sen - Sameer Sen
*Jigar*,Farogh Siddique,"Ajay Devgan, Karishma Kapoor, Gulshan Grover","Action, Romance",Anand-Milind
*Jo Jeeta Wohi Sikandar*,Mansoor Khan,"Aamir Khan, Ayesha Jhulka, Pooja Bedi, Mamik Singh, Kiran Zaveri","Drama, Romance",Jatin Lalit
*Junoon*,Mahesh Bhatt,"Rahul Roy, Pooja Bhatt, Tom Alter, Rakesh Bedi","Horror, Thriller",Nadeem-Shravan
*Kal Ki Awaz*,"B.R. Chopra, Ravi Chopra","Dharmendra, Raj Babbar, Amrita Singh",Action,Nadeem-Shravan
*Karm Yodha*,Dayal Nihalani,"Raj Babbar, Dimple Kapadia","Action, Drama",
*Kasak*,K. Bapaiah,"Rishi Kapoor, Neelam, Chunky Pandey",,Rajesh Roshan
*Khel*,Rakesh Kumar,"Anil Kapoor, Madhuri Dixit, Sonu Walia",Romance,Rajesh Roshan
*Khiladi*,Abbas Mustan,"Akshay Kumar, Ayesha Jhulka, Deepak Tijori, Sheeba","Romance, Drama, Thriller",Jatin Lalit
*Khuda Gawah*,Mukul Anand,"Amitabh Bachchan, Sridevi, Nagarjuna Akkineni, Shilpa Shirodkar","Drama, Romance",Laxmikant-Pyarelal
*Khule-Aam*,Arun Dutt,"Dharmendra, Shammi Kapoor, Neelam, Chunky Pandey, Moushumi Chatterjee",Action,
*Kisme Kitna Hai Dum*,Mahendra Sandhu,Mahendra Sandhu,,
*Laat Saab*,Sunil Agnihotri,"Jackie Shroff, Neelam","Action, Crime, Drama, Thriller",Anu Malik
*Lambu Dada*,Sharad Chaudhary,"Kabir Bedi, Madhavi","Action, Crime, Drama",
*Maa*,Ajay Kashyap,"Jeetendra, Jayapradha, Aruna Irani",,Anu Malik
*Maarg*,Mahesh Bhatt,"Vinod Khanna, Hema Malini, Dimple Kapadia",Drama,
*Mashooq*,"Heemayun Mirza, Mahrukh Mirzaa","Ayub Khan, Ayesha Jhulka, Kiran Kumar, Pran","Drama, Romance",Shyam - Surender
*Meera Ka Mohan*,K. Ravi Shankar,"Avinash Wadhavan, Ashwini Bhave, Pran",,Arun Paudwal
*Mehboob Mere Mehboob*,"Rama Jit Juneja, Gurdeep Singh","Alpana, Mohnish Bahl, Beena Banerjee",Romance,
*Mera Dil Tere Liye*,S.A. Chandrashekhar,"Gopi Bhalla, Dinesh, Aruna Irani",Romance,
*Mere Sajana Saath Nibhana*,Rajesh Vakil,"Mithun Chakraborty, Juhi Chawla, Shanti Priya","Drama, Musical",Anand-Milind
*Mr Bond*,Raj Sippy,"Akshay Kumar, Sheeba","Action, Romance",Anand-Milind
*Muskurahat*,Priyadarshan,"Jay Mehta, Revathi Menon, Annu Kapoor, Amrish Puri",Drama,Ram Laxman
*Nagin Aur Lootere*,Mohan T. Gehani,"Neelima Azim, Goga Kapoor, Shakti Kapoor","Fanatasy, Musical",
*Naseebwaala*,Kalpataru,"Chunky Pandey, Nutan, Farha Naaz",,
*Nishchaiy*,Esmayeel Shroff,"Vinod Khanna, Salman Khan, Karisma Kapoor","Action, Crime, Drama",O.P. Nayar
*Paayal*,Mahendra Shah,"Himalaya, Bhagyashree, Aruna Irani",Romance,Nadeem Shravan
*Panaah*,Krishnakant Pandya,"Naseeruddin Shah, Siddharth, Pallavi Joshi, Kiran Kumar, Pran",,Nadeem-Shravan
*Parampara*,Yash Chopra,"Sunil Dutt, Vinod Khanna, Ashwini Bhave, Ramya Krishna, Aamir Khan, Saif 
Ali Khan, Raveena Tandon, Neelam",Romance,Shiv - Hari
*Parasmani*,Mohan T. Gehani,"Siddhant, Madhuri, Goga Kapoor",,
*Parda Hai Parda*,K. Bapaiah,"Kiran Kumar, Meena, Chunky Pandey",,Anand-Milind
*Police Aur Mujrim*,K.C. Bokadia,"Raaj Kumar, Vinod Khanna, Meenakshi Sheshadri, Nagma","Action, Musical, Romance",Bappi Lahiri
*Police Officer*,Ashok Gaekwad,"Jackie Shroff, Karishma Kapoor, Gulshan Grover",Action,Anu Malik Anand-Milind
*Prem Deewane*,Sachin,"Jackie Shroff, Madhuri Dixit, Pooja Bhatt",Romance,Laxmikant-Pyarelal
*Pyar Hua Chori Chori*,"K. Bapaiah, J. Hemambar W","Mithun Chakraborty, Gautami, Shikha Swaroop",,Laxmikant-Pyarelal
*Qaid Mein Hai Bulbul*,Ravindra Peepat,"Rana Jung Bahadur, Bhagyashree, Sudha Chandran",,Anand-Milind
*Raat*,Ram Gopal Varma,"Revathi Menon, Om Puri, Rohini Hattangadi","Horror, Thriller",Mani Sharma
*Radha Ka Sangam*,Kirti Kumar,"Govinda, Juhi Chawla",,Anu Malik
*Raju Ban Gaya Gentleman*,Aziz Mirza,"Shah Rukh Khan, Juhi Chawla, Amrita Singh",Romance,Jatin Lalit
*Ramayana: The Legend of Prince Rama*,"Yugo Sako, Ram Mohan",Amrish Puri,Epic,
*Rishta To Ho Aisa*,Kalpataru,,,
*Roja*,Mani Ratnam,"Arvind Swamy, Madhoo, Pankaj Kapoor",Social,A. R. Rahman
*Saatwan Aasman*,Mahesh Bhatt,"Vivek Mushran, Pooja Bhatt, Avtar Gill",,Ram Laxman
*Sahebzaade*,Ajay Kashyap,"Sanjay Dutt, Neelam, Aditya Pancholi","Action, Drama, Romance",
*Sanam Tere Hain Hum*,V. Menon,,,
*Sangeet*,K. Vishwanath,"Madhuri Dixit, Jackie Shroff, Nitish Bhardwaj",Drama,Anand-Milind
*Sapne Sajan Ke*,Lawrence D'Souza,"Jackie Shroff, Dimple Kapadia, Karisma Kapoor, Rahul Roy",Romance,Nadeem-Shravan
*Sarphira*,Ashok Gaikwad,"Sanjay Dutt, Madhavi, Kimi Katkar",Action,Rahul Dev Burman
*Shola Aur Shabnam*,David Dhawan,"Govinda, Divya Bharati, Anupam Kher",Comedy,Bappi Lahiri
*Siyasat*,Sukhwant Dhadda,"Kumar Gaurav, Kimi Katkar, Shashi Ranjan","Action, Drama",
*Suraj Ka Satvan Ghoda*,Shyam Benegal,"Rajit Kapur, Rajeshwari Sachdev, Pallavi Joshi, Neena Gupta, Amrish Puri",Drama,Vanraj Bhatia
*Suryavanshi*,Rakesh Kumar,"Salman Khan, Amrita Singh, Kader Khan, Sheeba",Drama,Anand-Milind
*Tahalka*,Anil Sharma,"Dharmendra, Naseeruddin Shah, Mukesh Khanna, Shammi Kapoor, Ekta Sohini, 
Sonu Walia, Pallavi Joshi",Action,Anu Malik
*Tilak*,Yash Chauhan,"Rita Bhaduri, Goga Kapoor, Kiran Kumar",Action,Anand-Milind
*Time Machine*,,"Amrish Puri, Rekha, Naseeruddin Shah","Drama, Science Fiction",
*Tirangaa*,Mehul Kumar,"Raaj Kumar, Nana Patekar",Action,Laxmikant-Pyarelal
*Tulsidas*,Atma Ram,,,
*Tyaagi*,K. C. Bokadia,"Vikas Anand, Rajinikanth, Bhagyashree, Jayapradha",Action,Bappi Lahiri
*Tyagi*,K.C. Bokadia,"Vikas Anand, Bhagyashree, Birbal",,
*Umar 55 Ki Dil Bachpan Ka*,Ajay Mehra,"Akshay Anand, Chandni, Gulshan Grover","Comedy, Drama, Romance",
*Vansh*,Pappu Verma,"Sudesh Berry, Siddharth, Anupam Kher",Thriller,Anand-Milind
*Virodhi*,Rajkumar Kohli,"Dharmendra, Poonam Dhillon, Sunil Dutt, Roopali Ganguly",,
*Vishwatma*,Rajiv Rai,"Sunny Deol, Naseeruddin Shah, Sonam, Chunkey Pandey, Divya Bharati","Crime, Action",Viju Shah
*Waqt Ka Badshah*,Manmohan,"Akashdeep, Moon Moon Sen, Dharmendra",Action,
*Yaad Rakhegi Duniya*,Deepak Anand,"Aditya Pancholi, Rukhsar, Tinnu Anand",,Anand-Milind
*Yalgaar*,Feroz Khan,"Sanjay Dutt, Manisha Koirala, Naghma, Kabir Bedi, Deepti Naval","Drama, Action",Chinni Singh
*Yeh Raat Phir Na Aayegi*,,"Sadashiv Amrapurkar, Jeetendra, Meenakshi",,
*Yudhpath*,Ravi Ravan,"Sudesh Berry, Ekta Sohini, Mohnish Bahl","Action, Crime, Drama",
*Zakhmi Sipahi*,T.L.V. Prasad,"Mithun Chakraborty, Rituparna Sengupta",Action,
*Zindagi Ek Juaa*,Prakash Mehra,"Anil Kapoor, Madhuri Dixit, Amrish Puri",Drama,Bappi Lahiri
*Zulm Ki Hukumat*,Bharat Rangachary,"Dharmendra, Moushumi Chatterjee, Govinda, Kimi Katkar",,
*100 Days*,Parto Ghosh,"Jackie Shroff, Madhuri Dixit",Thriller,Ramlaxman
*Aadhi Mimansa*,Apurba Kishore Bir,"Mohan Gokhale, Neena Gupta, Ashok Kumar",,
*Aadmi Aur Apsara*,"J. Om Prakash, K. Raghavendra Rao","Chiranjeevi, Amrish Puri, Sridevi",,
*Aag Laga Do Sawan Ko*,Anup Malik,Harish Patel,,
*Aaj Ka Samson*,Kuku Kapoor,"Hemant Birje, Sahila Chaddha, Goga Kapoor","Action, Romance",
*Aakhri Cheekh*,Kiran Ramsay,"Vijay Arora, Anil Dhawan, Vijayendra Ghatge",Horror,
*Afsana Pyaar Ka*,Shahjahan,"Aamir Khan, *Neelam*",Romance,Bappi Lahiri
*Ajooba*,Shashi Kapoor,"Amitabh Bachchan, Rishi Kapoor, Dimple Kapadia, Sonam",Fantasy adventure,Laxmikant Pyarelal
*Akayla*,Ramesh Sippy,"Amitabh Bachchan, Jackie Shroff, Amrita Singh",Drama,Laxmikant Pyarelal
*Antarnaad*,Shyam Benegal,"Girish Karnad, Kulbhushan Kharbanda, Shabana Azmi",Drama,
*Ayee Milan Ki Raat*,K. Pappu,"Rita Bhaduri, Aruna Irani, Kulbhushan Kharbanda",Romance,Anand-Milind
*Baarish*,Narendra Grewal,"Rahul Roy, Sheeba",,Anand-Milind
*Baat Hai Pyaar Ki*,,Archana Joglekar,,
*Badnaam Rishte*,Keyan,"Pratap Chandra, Uma Maheshwari, Nalinikanth","Action, Drama, Thriller",
*Banjaran*,Harmesh Malhotra,"Rishi Kapoor, Sridevi",,Laxmikant Pyarelal
*Begunaah*,,"Rajesh Khanna, Ashok Kumar, Farha Naaz","Action, Crime, Drama",
*Benaam Badsha*,K. Ravi Shankar,"Anil Kapoor, Juhi Chawla, Rohini Hattangadi",Romance,Laxmikant Pyarelal
*Bhabhi*,Kishore Vyas,"Bhanupriya, Govinda, Juhi Chawla","Comedy, Drama, Family",Anu Malik
*Bhediyon Ka Samooh*,M.K. Shankar,"P.L. Ahuja, Praful Ambekar, Brahmachari","Action, Crime, Drama",
*Dancer*,Kishore Vyas,"Akshay Kumar, Krithi Singh, Mohnish Behl",Romance,Anand Milind
*Deshwasi*,Rajiv Goswami,"Manoj Kumar, Poonam Dhillon, Mandakini, Hema Malini","Action, Drama, Romance",
*Devendra Khandelwal*,Devendra Khandelwal,"Ashok Kumar, Anita Raj, Alok Nath",Crime,
*Dharam Sankat*,N.D. Kothari,"Vinod Khanna, Amrita Singh, Sahila Chaddha","Action, Drama, Family",
*Diksha*,Arun Kaul,"Sulabha Arya, Vijay Kashyap, Nana Patekar",Drama,
*Dil Hai Ke Manta Nahin*,Mahesh Bhatt,"Aamir Khan, Pooja Bhatt",Romance,Nadeem Shravan
*Do Matwale*,Ajay Kashyap,"Sanjay Dutt, Sonam, Gulshan Grover",Action,Laxmikant Pyarelal
*Dushman Devta*,Anil Ganguly,"Dharmendra, Dimple Kapadia, Gulshan Grover",Action,Bappi Lahiri
*Ek Doctor Ki Maut*,,,Drama,
*Ek Ghar*,Girish Kasaravalli,"Chanda, Rohini Hattangadi, Deepti Naval",,
*Ek Saas Zindagi*,Basu Bhattacharya,,,
*Ennavo Nadikkaradhu*,,Sridevi,,
*Farishtay*,Anil Sharma,"Dharmendra, Vinod Khanna, Jayapradha, Tom Alter",Action,Bappi Lahiri
*Fateh*,Talat Jani,"Shabana Azmi, Sanjay Dutt, Sonam",Action,Naresh Sharma
*First Love Letter*,Shiva,"Vivek Mushran, Manisha Koirala, Gulshan Grover",Romance,Bappi Lahiri
*Ganga Jamuna Ki Lalkaa*,Kanti Shah,"Shagufta Ali, Charan Dev, Goga Kapoor",Action,
*Garajna*,,"Rishi Kapoor, Vinod Khanna, Sridevi",,Bappi Lahiri
*Ghar Parivar*,,"Rajesh Khanna, Rishi Kapoor, Raj Kiran, Moushumi, Meenakshi Sheshadri",,
*Great Target*,,"Ashima Bhalla, Nirmal Pandey",Action,
*Gunehgar Kaun*,Ashok Gaikwad,"Raj Babbar, Mohsin Khan, Sujata Mehta",Action,
*Hafta Bandh*,Deepak Balraj Vij,"Jackie Shroff, Ekta Sohini",,Bappi Lahiri
*Haque*,Harish Bhosle,"Dimple Kapadia, Anupam Kher, Aashif Sheikh",,Anand-Milind
*Henna*,Randhir Kapoor,"Rishi Kapoor, Zeba Bakhtiar, Ashwini Bhave, Saeed Jaffrey","Romance, Drama",Ravindra Jain
*House No. 13*,Baby,"Salim Fateh, Leena Nair, Baby Vijaya",Horror,
*Hum*,Mukul S. Anand,"Amitabh Bachchan, Rajinikanth, Govinda, Shilpa Shirodkar, Kimi Katkar","Action, Drama",Laxmikant Pyarelal
*Indrajeet*,K. V. Raju,"Amitabh Bachchan, Jayapradha, Saeed Jaffery","Action, Drama",R. D. Burman
*Insaaf Ka Khoon*,Romy Bahl,"Shoma Anand, Chandrashekhar, Asha Parekh","Crime, Drama",
*Inspector Dhanush*,"Shyam, Tulsi","Vishnuvardhan, Sangeeta Bijlani, Suresh Oberoi",,
*Iraada*,Indrajit Singh,"Shatrughan Sinha, Moon Moon Sen, Om Puri",,
*Izzat*,Ashok Gaekwad,"Jackie Shroff, Sangeeta Bijlani, Gulshan Grover",Action,Anu Malik
*Jaan Ki Kasam*,Sushil Malik,"Krishna, Saathi Ganguly, Suresh Oberoi",Adventure,
*Jaan Pechaan*,Kamal Saigal,"Radha Asrani, Birbal, Sudha Chandran","Comedy, Drama",
*Jeena Teri Gali Mein*,Tinnu Anand,"Kavita Kapoor, Kunika, Amita Nangia",Romance,Babul Bose
*Jeene Ki Sazaa*,Nazir Herekar,"Abhi Bhattacharya, Sudha Chandran, Anita Chopra",Drama,
*Jeevan Daata*,Swaroop Kumar,"Chunky Pandey, Aditya Pancholi, Kimi Katkar",,
*Jhooti Shaan*,Ranjan Bose,"Mithun Chakraborty, Poonam Dhillon, Shabana Azmi",Drama,R. D. Burman
*Jigarwala*,Swaroop Kumar,"Urmila Bhatt, Shahid Bijnori, Biswajeet",,
*Jungle Beauty*,Dilip Gulati,"Joshina, Rajeev Kumar, Puneet Issar","Action, Adventure",
*Kadardaan*,Kawal Sharma,Sandeep,,
*Karz Chukana Hai*,Vimal Kumar,"Govinda, Juhi Chawla, Raj Kiran",Action,Rajesh Roshan
*Kasba*,Kumar Shahani,"Navjot Hansra, K.K. Raina, Manohar Singh",,
*Kaun Kare Qurbaani*,Arjun Hingorani,"Dharmendra, Govinda, Anita Raj, Sonu Walia",Drama,Kalyanji Anandji
*Khilaaf*,Rajeev Nagpaul,"Chunky Pandey, Madhuri Dixit","Action, Comedy, Crime, Drama, Romance",Laxmikant-Pyarelal
*Khoon Ka Karz*,Mukul S. Anand,"Vinod Khanna, Dimple Kapadia, Rajnikanth, Sanjay Dutt, Kimi Katkar","Action, Crime, Drama",Laxmikant-Pyarelal
*Khooni Panja*,Vinod Talwar,"Anil Dhawan, Jagdeep, Javed Khan",Horror,
*Khooni Raat*,,"Beena Banerjee, Saahil Chadha, Huma Khan",Horror,
*Kohraam*,Kuku Kohli,"Sadashiv Amrapurkar, Dharmendra, Chunky Pandey, Sonam",,
*Kurbaan*,Deepak Bahry,"Sunil Dutt, Salman Khan, Ayesha Jhulka",Romance,Anand Milind
*Lakhpati*,Jal Baliwala,Nirupa Roy,,
*Lakshmanrekha*,Sunil Sikand,"Vikas Anand, Suresh Bhagwat, Sangeeta Bijlani, Pran",Drama,
*Lamhe*,Yash Chopra,"Anil Kapoor, Sridevi, Waheeda Rehman, Anupam Kher","Romance, Drama",Shiv-Hari
*Love*,Suresh Krishna,"Salman Khan, Revathi, Amjad Khan",Romance,Anand Milind
*Maa*,Ajay Kashyap,"Jeetendra, Jayapradha, Aruna Irani",Drama,Anu Malik
*Mast Kalandar*,Rahul Rawail,"Dharmendra, Dimple Kapadia, Shammi Kapoor",Action,
*Meena Bazar*,,"Poonam Dasgupta, Roopali Ganguly, Om Puri",Drama,
*Meet Mere Man Ke*,Mehul Kumar,"Salma Agha, Prasenjit Chatterjee, Shafi Inamdar",,
*Mehandi Ban Gai Khoon*,R.S. Ghelan,"Birbal, Juhi Chawla, Jankidas",Action,
*Mississippi Masala*,Mira Nair,"Denzel Washington, Sarita Choudhury",Social,Rashid Athre
*Naamcheen*,Ajit Dewani,"Ektaa Bahl, Gulshan Grover, Suhas Joshi",Crime,
*Nachnewala Gaanewale*,Babbar Subhash,"Chandrashekhar, Raja Duggal, Saathi Ganguly",,
*Narsimha*,N. Chandra,"Sunny Deol, Dimple Kapadia, Urmila Matondkar",Action,Laxmikant Pyarelal
*Nazar*,Mani Kaul,"A.A. Baig, Asha Dandavate, Shekhar Kapur",,
*Numbri Aadmi*,Swaroop Kumar,"Ishrat Ali, Rakesh Bedi, Master Bhagwan","Action, Crime, Drama",
*Paap Ki Aandhi*,Mehul Kumar,"Dharmendra, Aditya Pancholi, Farha Naaz, Amrita Singh",,
*Patthar Ke Phool*,Anant Balani,"Salman Khan, Raveena Tandon","Romance, Thriller",Ramlaxman
*Phool Aur Kaante*,Sandesh Kohli,"Ajay Devgan, Madhoo, Aruna Irani, Jagdeep, Amrish Puri",Thriller,Nadeem Shravan
*Phool Bane Angaarey*,,"Rekha, Rajnikanth, Prem Chopra",Action,Bappi Lahiri
*Pita*,Govind Nihalani W,"Vimal Bhagat, Satyadev Dubey, Irfan",,
*Prahaar: The Final Attack*,Nana Patekar,"Nana Patekar, Madhuri Dixit, Dimple Kapadia",Action,Laxmikant Pyarelal
*Pratigyabadh*,Ravi Chopra,"Beena Banerjee, Mithun Chakraborty, Sunil Dutt, Kumar Gaurav, *Neelam*",,
*Pratikar*,Rama Rao Tatineni,"Rakhee Gulzar, Anil Kapoor, Madhuri Dixit","Action, Crime, Drama",
*Prem Qaidi*,K. Muralimohana Rao,"Karishma Kapoor, Harish, Shafi Inamdar, Paresh Rawal,","Romantic, Drama",Anand Milind
*Pyaar Ka Saaya*,Vinod Verma,"Amrita Singh, Rahul Roy, Sheeba",Drama,Nadeem-Shravan
*Pyar Bhara Dil*,Chandra Barot,"Rakesh Bedi, Dinesh Hingoo, Reema Lagoo","Drama, Romance",
*Qurbani Rang Layegi*,Raj N. Sippy,"Sanjay Dutt, Poonam Dhillon, Padmini Kolhapure","Drama, Family",
*Radha Ka Sangam*,Kirti Kumar,"Govinda, Juhi Chawla, Kiran Kumar","Romance, Drama",Anu Malik
*Ramgarh Ke Sholay*,Ajit Dewani,"Kishore Anand Bhanushali, Dinesh Hingoo, Amjad Khan","Action, Comedy, Crime, Drama, Romance",Anu Malik
*Ranbhoomi*,Deepak Sareen,"Rishi Kapoor, Jeetendra, Dimple Kapadia, Shatrughan Sinha, Rishi Kapoor, 
*Neelam*","Action, Drama",Laxmikant Pyarelal
*Roohani Taaqat*,Mohan Bhakri,"Jagdeep, Javed Khan, Kiran Kumar",Horror,
*Rukvamati's Mansion*,Govind Nihalani,"Ila Arun, Uttara Baokar, Jyoti Subash Chandra",,
*Rupaye Dus Karod*,Sikander Bharti,"Rajesh Khanna, Chunky Pandey, Amrita Singh",,
*Saajan*,Lawerence D'Souza,"Sanjay Dutt, Salman Khan, Madhuri Dixit",Romance,Nadeem Shravan
*Saathi*,Mahesh Bhatt,"Aditya Pancholi, Mohsin Khan, Varsha Usgaonkar","Action, Romance",Nadeem Shravan
*Sadak*,Mahesh Bhatt,"Sanjay Dutt, Pooja Bhatt, Deepak Tijori",Romance,Nadeem Shravan
*Sanam Bewafa*,Saawan Kumar Tak,"Salman Khan, Chandni, Kanchan, Pran, Danny Denzongpa",,Mahesh-Kishore
*Sapnon Ka Mandir*,Pradip Jain,"Jeetendra, Jayapradha","Action, Crime, Drama, Family",
*Sau Crore*,Dev Anand,"Dev Anand, Sonika Gill, Vikram Gokhale",,
*Saudagar*,Subhash Ghai,"Raaj Kumar, Dilip Kumar, Manisha Koirala","Romance, Drama",Laxmikant Pyarelal
*Saugandh*,Raj Sippy,"Akshay Kumar, Raakhee, Rupali Ganguly","Action, Family",Anand Milind
*Shankara*,Sudarshan Nag,"Alpana, Sunny Deol, Sulabha Deshpande",,Laxmikant-Pyarelal
*Shanti Kranti*,Ravichandran,"Nagarjuna Akkineni, Juhi Chawla, Annapoorna",Musical,
*Shikari: The Hunter*,Umesh Mehra,"Mithun Chakraborty, Naseeruddin Shah, Irina Kushnareva, Varsha Usgaonkar",Action,Anu Malik
*Shiv Ram*,Jagdish A. Sharma,"Jeetendra, Aditya Pancholi, Sadashiv Amrapurkar",,
*Swarg Jaisaa Ghar*,Swaroop Kumar,"Raj Babbar, Sumeet Saigal, Aashif Sheikh",,
*Swarg Yahan Narak Yahan*,Vimal Kumar,"Mithun Chakraborty, Shilpa Shirodkar, Sumalatha","Action, Comedy, Drama, Crime",Rajesh Roshan
*Swayam*,Mahesh Bhatt,"Waheeda Rehman, Paresh Rawal",,
*Thalapathi*,Mani Ratnam,"Rajinikanth, Mammootty, Shobana","Crime, Drama",
*The Magnificent Guardian*,"Shyam Ramsay, Tulsi Ramsay","Shagufta Ali, Beena Banerjee, Hemant Birje",,
*Trinetra*,Harry Baweja,"Mithun Chakraborty, Dharmendra, Deepa Sahi, Shilpa Shirodkar",Action,Anand Milind
*Veerta*,Shibu Mitra,"Prasenjit Chatterjee, Prem Chopra, Sunny Deol",,
*Vishkanya*,Jagmohan Mundra,"Kunal Goswami, Pooja Bedi, Kabir Bedi",Action,Bappi Lahiri
*Vishnu-Devaa*,K. Pappu,"Sunny Deol, Aditya Pancholi, *Neelam*",,Rajesh Roshan
*Yaara Dildara*,Mirza Brothers,"Aashif Sheikh, Ruchika Pandey, Amjad Khan","Romance, Drama",Jatin-Lalit
*Yeh Aag Kab Bujhegi*,Sunil Dutt,"Sunil Dutt, Rekha, Kabir Bedi",Drama,Ravindra Jain
*Yodha*,Rahul Rawail,"Sunny Deol, Sanjay Dutt, Sangeeta Bijlani",Action,Bappi Lahiri
*Zaher*,Jyoti Swaroop,"Arjun, Iqbal Durrani, Alka Kubal",,

